ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94502,11,2022,Gas- Commercial,N,101,"122,699","1,215"
94502,12,2022,Gas- Commercial,N,105,"157,315","1,498"
94503,10,2022,Gas- Commercial,Y,0,0,
94503,11,2022,Gas- Commercial,Y,0,0,
94503,12,2022,Gas- Commercial,Y,0,0,
94505,10,2022,Gas- Commercial,Y,0,0,
94505,11,2022,Gas- Commercial,Y,0,0,
94505,12,2022,Gas- Commercial,Y,0,0,
94506,10,2022,Gas- Commercial,Y,129,"67,808",526
94506,11,2022,Gas- Commercial,Y,0,0,
94506,12,2022,Gas- Commercial,Y,150,"122,028",814
94507,10,2022,Gas- Commercial,Y,0,0,
94507,11,2022,Gas- Commercial,N,113,"33,397",296
94507,12,2022,Gas- Commercial,N,113,"43,457",385
94508,10,2022,Gas- Commercial,Y,0,0,
94508,11,2022,Gas- Commercial,Y,0,0,
94508,12,2022,Gas- Commercial,Y,0,0,
94509,10,2022,Gas- Commercial,Y,0,0,
94509,11,2022,Gas- Commercial,Y,0,0,
94509,12,2022,Gas- Commercial,Y,0,0,
94510,10,2022,Gas- Commercial,N,532,"69,301",130
94510,11,2022,Gas- Commercial,N,533,"136,336",256
94510,12,2022,Gas- Commercial,N,534,"198,113",371
94513,10,2022,Gas- Commercial,Y,0,0,
94513,11,2022,Gas- Commercial,Y,986,"307,765",312
94513,12,2022,Gas- Commercial,Y,"1,212","548,033",452
94514,10,2022,Gas- Commercial,Y,0,0,
94514,11,2022,Gas- Commercial,Y,0,0,
94514,12,2022,Gas- Commercial,Y,0,0,
94515,10,2022,Gas- Commercial,Y,0,0,
94515,11,2022,Gas- Commercial,Y,0,0,
94515,12,2022,Gas- Commercial,Y,0,0,
94517,10,2022,Gas- Commercial,Y,0,0,
94517,11,2022,Gas- Commercial,Y,0,0,
94517,12,2022,Gas- Commercial,Y,0,0,
94518,10,2022,Gas- Commercial,Y,0,0,
94518,11,2022,Gas- Commercial,Y,0,0,
94518,12,2022,Gas- Commercial,Y,0,0,
94519,10,2022,Gas- Commercial,Y,0,0,
94519,11,2022,Gas- Commercial,Y,479,"141,673",296
94519,12,2022,Gas- Commercial,Y,477,"183,970",386
94520,10,2022,Gas- Commercial,Y,"7,189","1,872,769",261
94520,11,2022,Gas- Commercial,Y,"5,507","2,481,081",451
94520,12,2022,Gas- Commercial,Y,"2,750","1,594,922",580
94521,10,2022,Gas- Commercial,Y,0,0,
